t,x,y,vx,vy,speed
117.02208995819092,497,398,-5,-63,63.198101237299845
117.20138907432556,493,394,-22,-22,31.11269837220809
117.36212611198425,481,382,-74,-74,104.65180361560904
117.51403594017029,472,372,-59,-65,87.78382538941898
117.69284009933472,472,372,0,0,0.0
117.8502209186554,483,389,69,108,128.16005617976296
118.01674318313599,495,422,72,198,210.68459839295326
118.19516706466675,508,453,72,173,187.3846311734236
118.35552930831909,523,454,93,6,93.1933474020544
118.52761912345886,531,423,46,-180,185.78482176970218
118.69441199302673,518,392,-77,-185,200.38463014912097
118.88496518135071,500,386,-94,-31,98.97979591815695
119.05189919471741,494,402,-35,95,101.24228365658294
119.23125696182251,493,436,-5,189,189.06612599828665
119.39822721481323,502,458,53,131,141.315250415516
119.56532597541809,528,446,155,-71,170.48753620133056
